[0311/151653.592:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0311/160532.773:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0316/061716.265:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0316/071611.824:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0331/100818.295:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0404/061823.492:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0417/063420.875:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0418/075637.148:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0418/102447.122:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0727/190844.208:ERROR:scoped_process_suspend.cc(30)] NtSuspendProcess: An attempt was made to access an exiting process.  (0xc000010a)
[0727/190844.524:ERROR:process_info.cc(116)] ReadProcessMemory bool __cdecl crashpad::`anonymous-namespace'::ReadStruct<struct crashpad::process_types::PEB<struct crashpad::process_types::internal::Traits32>>(void *,unsigned __int64,struct crashpad::process_types::PEB<struct crashpad::process_types::internal::Traits32> *): Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0727/190844.646:ERROR:process_info.cc(559)] ReadProcessData failed
[0727/190844.646:ERROR:process_reader_win.cc(233)] ReadMemory at 0x6ef87dc8 of 12 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0727/190844.646:WARNING:process_snapshot_win.cc(68)] ReadMemory ExceptionInformation failed
[0727/190844.646:WARNING:crash_report_exception_handler.cc(60)] ProcessSnapshotWin::Initialize failed
[0914/203110.225:ERROR:process_info.cc(625)] range at 0xfffde000, size 0x230 fully unreadable
[0914/203110.285:ERROR:process_info.cc(625)] range at 0xfffdd000, size 0xf84 fully unreadable
[0914/203111.288:ERROR:process_reader_win.cc(233)] ReadMemory at 0x413000 of 53248 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0914/203111.362:ERROR:crash_report_exception_handler.cc(111)] WriteEverything failed
[0914/203111.364:ERROR:scoped_process_suspend.cc(38)] NtResumeProcess: An attempt was made to access an exiting process.  (0xc000010a)
[1030/125321.000:ERROR:process_reader_win.cc(123)] NtOpenThread: {Access Denied} A process has requested access to an object, but has not been granted those access rights.  (0xc0000022)
[1030/125321.011:ERROR:exception_snapshot_win.cc(87)] thread ID 9504 not found in process
[1030/125321.011:WARNING:crash_report_exception_handler.cc(62)] ProcessSnapshotWin::Initialize failed
[1030/141822.161:ERROR:process_reader_win.cc(123)] NtOpenThread: {Access Denied} A process has requested access to an object, but has not been granted those access rights.  (0xc0000022)
[1030/141822.201:ERROR:exception_snapshot_win.cc(87)] thread ID 11940 not found in process
[1030/141822.201:WARNING:crash_report_exception_handler.cc(62)] ProcessSnapshotWin::Initialize failed
[1015/150316.524:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1015/151927.733:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1028/053307.944:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1028/112842.253:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
